000000000000000121000011096,0.163,6.02,-2.85,1.17
000000000000000121000010223,0.177,5.88,-2.87,1.09
000000000000000121000011096,0.150,6.02,-2.85,1.17
000000000000000121000010223,0.152,5.88,-2.87,1.09
000000000000000121000011096,0.144,6.03,-2.85,1.17
000000000000000121000010223,0.217,5.87,-2.87,1.10
000000000000000121000011096,0.183,6.04,-2.85,1.16
000000000000000121000010223,0.203,5.87,-2.88,1.10
000000000000000121000011096,0.167,5.90,-2.83,0.99
000000000000000121000010223,0.176,5.88,-2.88,1.10
000000000000000121000011096,0.172,5.94,-2.87,1.12
000000000000000121000010223,0.164,5.88,-2.89,1.09
000000000000000121000011096,0.143,5.94,-2.87,1.12
000000000000000121000010223,0.160,5.88,-2.90,1.09
000000000000000121000011096,0.159,5.94,-2.87,1.12
000000000000000121000010223,0.186,5.88,-2.90,1.09
000000000000000121000011096,0.175,5.95,-2.87,1.12
000000000000000121000010223,0.177,5.88,-2.91,1.09
000000000000000121000011096,0.163,5.95,-2.87,1.12
000000000000000121000010223,0.167,5.88,-2.91,1.09
000000000000000121000011096,0.156,5.96,-2.87,1.12
000000000000000121000010223,0.165,5.88,-2.92,1.09
000000000000000121000011096,0.153,5.96,-2.87,1.12
000000000000000121000010223,0.162,5.87,-2.92,1.09
000000000000000121000011096,0.159,5.96,-2.87,1.12
000000000000000121000010223,0.162,5.87,-2.92,1.09
000000000000000121000011096,0.154,5.97,-2.87,1.12
000000000000000121000010223,0.163,5.88,-2.91,1.09
000000000000000121000011096,0.155,5.98,-2.86,1.12
000000000000000121000010223,0.161,5.87,-2.91,1.09
000000000000000121000011096,0.151,5.98,-2.86,1.12
000000000000000121000010223,0.161,5.88,-2.91,1.09
000000000000000121000011096,0.152,5.99,-2.85,1.12
000000000000000121000010223,0.160,5.88,-2.91,1.09
000000000000000121000011096,0.149,6.01,-2.85,1.13
000000000000000121000010223,0.158,5.89,-2.91,1.10
000000000000000121000011096,0.145,6.02,-2.84,1.13
000000000000000121000010223,0.158,5.89,-2.91,1.09
000000000000000121000011096,0.145,6.04,-2.84,1.13
000000000000000121000010223,0.161,5.90,-2.91,1.09
000000000000000121000011096,0.162,6.04,-2.84,1.13
000000000000000121000010223,0.182,5.91,-2.91,1.10
000000000000000121000011096,0.157,6.05,-2.84,1.13
000000000000000121000010223,0.176,5.93,-2.91,1.10
000000000000000121000011096,0.155,6.05,-2.84,1.14
000000000000000121000010223,0.161,5.94,-2.91,1.10
000000000000000121000011096,0.171,6.24,-2.83,1.19
000000000000000121000010223,0.167,5.96,-2.91,1.10
000000000000000121000011096,0.466,6.04,-2.79,1.11
000000000000000121000010223,0.157,5.96,-2.90,1.10
000000000000000121000011096,0.322,5.93,-2.74,1.18
000000000000000121000010223,0.157,5.98,-2.90,1.10
000000000000000121000011096,0.183,5.99,-2.81,1.12
000000000000000121000010223,0.152,5.98,-2.89,1.11
000000000000000121000011096,0.243,5.98,-2.81,1.12
000000000000000121000010223,0.151,5.98,-2.89,1.11
000000000000000121000011096,0.307,5.81,-2.74,1.22
000000000000000121000010223,0.157,5.97,-2.88,1.11
000000000000000121000011096,0.198,5.96,-2.74,1.11
000000000000000121000010223,0.174,5.96,-2.88,1.11
000000000000000121000011096,0.190,5.96,-2.75,1.11
000000000000000121000010223,0.184,5.94,-2.88,1.11
000000000000000121000011096,0.165,5.96,-2.76,1.11
000000000000000121000010223,0.172,5.94,-2.87,1.11
000000000000000121000011096,0.177,5.96,-2.77,1.11
000000000000000121000010223,0.180,5.92,-2.88,1.12
000000000000000121000011096,0.182,5.96,-2.79,1.12
000000000000000121000010223,0.177,5.91,-2.94,1.26
000000000000000121000011096,0.165,5.96,-2.80,1.12
000000000000000121000010223,0.224,5.91,-2.95,1.25
000000000000000121000011096,0.162,5.97,-2.81,1.12
000000000000000121000010223,0.721,5.82,-2.96,1.29
000000000000000121000011096,0.149,5.97,-2.82,1.12
000000000000000121000010223,0.202,5.81,-2.96,1.28
000000000000000121000011096,0.152,5.97,-2.82,1.12
000000000000000121000010223,0.166,5.90,-2.97,1.21
000000000000000121000011096,0.155,5.98,-2.82,1.12
000000000000000121000010223,0.153,5.90,-2.97,1.22
000000000000000121000011096,0.244,5.99,-2.82,1.13
000000000000000121000010223,0.166,6.10,-2.97,1.22
000000000000000121000011096,0.178,5.99,-2.82,1.13
000000000000000121000010223,0.166,6.09,-2.97,1.22
000000000000000121000011096,0.280,5.99,-2.82,1.13
000000000000000121000010223,0.156,6.09,-2.98,1.22
000000000000000121000011096,0.183,5.98,-2.82,1.13
000000000000000121000010223,0.169,5.97,-2.94,1.16
000000000000000121000011096,0.168,5.98,-2.83,1.13
000000000000000121000010223,0.176,5.97,-2.94,1.16
000000000000000121000011096,0.161,5.98,-2.83,1.12
000000000000000121000010223,0.277,5.97,-2.94,1.17
000000000000000121000011096,0.159,5.97,-2.84,1.12
000000000000000121000010223,0.268,5.62,-2.89,0.94
000000000000000121000011096,0.183,5.97,-2.84,1.12
000000000000000121000010223,0.188,5.62,-2.77,1.14
000000000000000121000011096,0.276,5.97,-2.85,1.13
000000000000000121000010223,0.160,5.62,-2.78,1.13
000000000000000121000011096,0.187,5.97,-2.85,1.13
000000000000000121000010223,0.155,5.63,-2.78,1.13
000000000000000121000011096,0.198,5.97,-2.86,1.13
000000000000000121000010223,0.169,5.64,-2.79,1.12
000000000000000121000011096,0.173,5.96,-2.86,1.13
000000000000000121000010223,0.164,5.66,-2.80,1.12
000000000000000121000011096,0.162,5.96,-2.86,1.13
000000000000000121000010223,0.162,5.68,-2.81,1.11
000000000000000121000011096,0.159,5.95,-2.86,1.12
000000000000000121000010223,0.177,5.70,-2.82,1.11
000000000000000121000011096,0.161,5.95,-2.86,1.12
000000000000000121000010223,0.183,5.72,-2.82,1.11
000000000000000121000011096,0.181,5.95,-2.86,1.12
000000000000000121000010223,0.186,5.74,-2.83,1.10
000000000000000121000011096,0.167,5.94,-2.87,1.12
000000000000000121000010223,0.288,5.84,-2.88,1.18
000000000000000121000011096,0.162,5.93,-2.87,1.12
000000000000000121000010223,0.732,5.88,-2.69,0.89
000000000000000121000011096,0.177,5.93,-2.88,1.12
000000000000000121000010223,0.182,5.84,-2.77,1.08
000000000000000121000011096,0.166,5.93,-2.88,1.12
000000000000000121000010223,0.156,5.84,-2.77,1.08
