000000000000000121000010227,-3.047,1.123,0.898,0,0,2017/12/01 19:16:51,10:16:51.5399140,0.15
000000000000000121000010227,-2.939,1.226,0.833,0,0,2017/12/01 19:16:51,10:16:51.6480300,0.024
000000000000000121000010227,-3.074,1.142,0.892,0,0,2017/12/01 19:16:51,10:16:51.7561460,0.13
000000000000000121000010227,-2.952,1.275,0.885,0,0,2017/12/01 19:16:51,10:16:51.8767100,0.039
000000000000000121000010227,-3.126,1.155,0.937,0,0,2017/12/01 19:16:51,10:16:51.9577970,0.139
000000000000000121000010227,-3.201,1.226,0.866,0,0,2017/12/01 19:16:52,10:16:52.0929420,0.062
000000000000000121000010227,-3.058,1.141,0.878,0,0,2017/12/01 19:16:52,10:16:52.2010580,0.122
000000000000000121000010227,-2.893,1.301,0.75,0,0,2017/12/01 19:16:52,10:16:52.3091740,0.083
000000000000000121000010227,-3.348,1.272,1.024,0,0,2017/12/01 19:16:52,10:16:52.4172900,0.122
000000000000000121000010227,-3.194,1.328,0.958,0,0,2017/12/01 19:16:52,10:16:52.5254060,0.067
000000000000000121000010227,-3.051,1.155,0.934,0,0,2017/12/01 19:16:52,10:16:52.6335220,0.182
000000000000000121000010227,-3.227,1.247,0.984,0,0,2017/12/01 19:16:52,10:16:52.7416380,0.051
000000000000000121000010227,-3.034,1.114,0.902,0,0,2017/12/01 19:16:52,10:16:52.8497540,0.109
000000000000000121000010227,-3.032,1.164,0.885,0,0,2017/12/01 19:16:52,10:16:52.9578700,0.148
000000000000000121000010227,-3.056,1.14,0.853,0,0,2017/12/01 19:16:53,10:16:53.0659860,0.144
000000000000000121000010227,-3.157,1.199,0.971,0,0,2017/12/01 19:16:53,10:16:53.1741020,0.049
000000000000000121000010227,-3.08,1.162,0.902,0,0,2017/12/01 19:16:53,10:16:53.2822180,0.217
000000000000000121000010227,-2.922,1.194,0.936,0,0,2017/12/01 19:16:53,10:16:53.3903340,0.045
000000000000000121000010227,-3.114,1.114,0.86,0,0,2017/12/01 19:16:53,10:16:53.4984500,0.142
000000000000000121000010227,-3.044,1.225,1.008,0,0,2017/12/01 19:16:53,10:16:53.6065660,0.241
000000000000000121000010227,-3.178,1.225,0.893,0,0,2017/12/01 19:16:53,10:16:53.7146820,0.035
000000000000000121000010227,-3.033,1.03,0.785,0,0,2017/12/01 19:16:53,10:16:53.8227980,0.152
000000000000000121000010227,-3.008,1.135,0.944,0,0,2017/12/01 19:16:53,10:16:53.9309140,0.154
000000000000000121000010227,-3.057,1.169,0.898,0,0,2017/12/01 19:16:54,10:16:54.0390300,0.198
000000000000000121000010227,-2.959,1.316,0.84,0,0,2017/12/01 19:16:54,10:16:54.1201170,0.039
000000000000000121000010227,-3.211,1.259,0.978,0,0,2017/12/01 19:16:54,10:16:54.2282330,0.039
000000000000000121000010227,-3.295,1.339,1.038,0,0,2017/12/01 19:16:54,10:16:54.3633780,0.079
000000000000000121000010227,-2.937,1.271,0.738,0,0,2017/12/01 19:16:54,10:16:54.4607100,0.015
000000000000000121000010227,-3.071,1.188,0.94,0,0,2017/12/01 19:16:54,10:16:54.5688260,0.195
000000000000000121000010227,-3.014,1.136,0.912,0,0,2017/12/01 19:16:54,10:16:54.6769420,0.136
000000000000000121000010227,-3.237,1.31,0.945,0,0,2017/12/01 19:16:54,10:16:54.7850580,0.045
000000000000000121000010227,-3.105,1.196,0.843,0,0,2017/12/01 19:16:54,10:16:54.8931740,0.104
000000000000000121000010227,-3.031,1.119,0.926,0,0,2017/12/01 19:16:55,10:16:55.0012900,0.125
000000000000000121000010227,-3.276,1.293,0.999,0,0,2017/12/01 19:16:55,10:16:55.1094060,0.052
